BlockNo_	S3300047	S3300074	S3300239
Block24111	0.06531	0.16714	0.11629
Block24112	0.67639	0.68346	0.67539
Block24113	0.00223	0.0007	0.006
Block24114	0.76124	0.791	0.76515
Block24115	0.81887	0.85105	0.84786
Block24116	0.81143	0.82662	0.77917
Block24117	0.83216	0.80237	0.81781
Block24118	0.00258	0.00097	0.0009
Block24119	0.87955	0.85378	0.87052
Block24120	0.02218	0.03113	0.02808
Block24121	0.85847	0.84291	0.83239
Block24122	0.05149	0.16885	0.13108
Block24123	0.14765	0.26972	0.21741
Block24124	0.89921	0.80738	0.83451
Block24125	0.74457	0.71883	0.7244
Block24126	0.017	0.01931	0.01646
Block24127	0.74718	0.6498	0.65399
Block24128	0.75427	0.63975	0.7438
Block24129	0.79934	0.79314	0.80284
Block24130	0.00473	0.02444	0.01425
Block24131	0.01408	0.0193	0.01031
Block24132	0.89897	0.83557	0.86142
Block24133	0.34823	0.30549	0.38208
Block24134	0.74074	0.80121	0.76161
Block24135	0.89927	0.79163	0.82557
Block24136	0.8061	0.77896	0.7886
Block24137	0.77285	0.81014	0.74644
Block24138	0.83851	0.83678	0.81903
Block24139	0.81337	0.77937	0.78896
Block24140	0.88259	0.91833	0.84419
Block24141	0.67147	0.58701	0.59846
Block24142	0.89423	0.8568	0.86326
Block24143	0.03748	0.0328	0.0321
Block24144	0.75576	0.78018	0.73052
Block24145	0.06452	0.14552	0.0873
Block24146	0.02089	0.04892	0.05592
Block24147	0.86376	0.84492	0.83579
Block24148	0.75999	0.74654	0.76395
Block24149	0.74568	0.76989	0.76815
Block24150	0.0002	0.02393	0.00644
Block24151	0.78037	0.81195	0.81588
Block24152	0.89642	0.87958	0.85309
Block24153	0.85185	0.82692	0.87037
Block24154	0.83427	0.82708	0.77915
Block24155	0.8047	0.70537	0.67547
Block24156	0.70425	0.78186	0.75058
Block24157	0.24153	0.09259	0.12593
Block24158	0.81988	0.76238	0.80244
Block24159	0.04863	0.11237	0.13169
Block24160	0.66745	0.70944	0.65042
Block24161	0.71462	0.7369	0.77708
Block24162	0.90228	0.89667	0.87888
Block24163	0.26756	0.17971	0.19239
Block24164	0.39005	0.20899	0.14874
Block24165	0.88422	0.89076	0.88666
Block24166	0.01999	0.02642	0.01756
Block24167	0.83784	0.66892	0.80867
Block24168	0.8494	0.86426	0.853
Block24169	0.00163	0.00659	0.00044
Block24170	0.91143	0.789	0.81999
Block24171	0.01055	0.0693	0.04152
Block24172	0.79783	0.78344	0.78546
Block24173	0.74016	0.80626	0.76079
Block24174	0.41714	0.43386	0.4602
Block24175	0.81544	0.72005	0.78686
Block24176	0.02159	0.06527	0.0536
Block24177	0.88837	0.8727	0.87725
Block24178	0.82375	0.91839	0.89933
Block24179	0.97727	0.88889	0.88
Block24180	0.82322	0.81422	0.79172
Block24181	0.42057	0.55995	0.53208
Block24182	0.83723	0.78431	0.79595
Block24183	0.84357	0.7691	0.78411
Block24184	0.7962	0.79948	0.78464
Block24185	0.06407	0.04539	0.1176
Block24186	0.71764	0.75753	0.7287
Block24187	0.76291	0.67226	0.72446
Block24188	0.02336	0.12661	0.0713
Block24189	0.01289	0.02764	0.0513
Block24190	0.03278	0.08968	0.05081
Block24191	0.00326	0.00125	0.01113
Block24192	0.87824	0.87783	0.88702
Block24193	0.76645	0.55448	0.63252
Block24194	0.77918	0.78935	0.75514
Block24195	0.88134	0.83712	0.84426
Block24196	0.79483	0.87435	0.81947
Block24197	0.06127	0.01887	0.02952
Block24198	0.63214	0.32997	0.34927
Block24199	0.76106	0.70714	0.76169
Block24200	0.92514	0.92568	0.88829
Block24201	0.79276	0.77433	0.79934
Block24202	0.75225	0.73112	0.80384
Block24203	0.87707	0.84175	0.84314
Block24204	0.85777	0.82162	0.81677
Block24205	0.83261	0.79552	0.82413
Block24206	0.77624	0.79496	0.78737
Block24207	0.2521	0.1229	0.28528
Block24208	0.91202	0.92872	0.93732
Block24209	0.85762	0.78027	0.87028
Block24210	0.86967	0.88307	0.85744
Block24211	0.68169	0.76973	0.76367
Block24212	0.00364	0.00398	0.00243
Block24213	0	0	0.57032
Block24214	0.84903	0.8259	0.83417
Block24215	0.02916	0.04299	0.0251
Block24216	0.80066	0.75978	0.77412
Block24217	0.87895	0.84669	0.91884
Block24218	0.76672	0.78288	0.80209
Block24219	0.05004	0.11437	0.10758
Block24220	0.00463	0.01281	0.00351
Block24221	0.85021	0.86252	0.86392
Block24222	0.74702	0.72273	0.7275
Block24223	0.79777	0.85353	0.86852
Block24224	0.85446	0.81195	0.83728
Block24225	0.79318	0.7539	0.71954
Block24226	0.24794	0.19767	0.20766
Block24227	0.00084	0.00527	0
Block24228	0.00287	0.05175	0.03403
Block24229	0.8353	0.82504	0.80489
Block24230	0.00349	0.00099	0.00149
Block24231	0.66353	0.60944	0.63585
Block24232	0.76875	0.73186	0.7307
Block24233	0.02518	0.02546	0.05465
Block24234	0.03932	0.12454	0.1368
Block24235	0.82285	0.78295	0.81115
Block24236	0.8143	0.83694	0.83531
Block24237	0.37953	0.22365	0.22572
Block24238	0.65887	0.69335	0.67176
Block24239	0.86554	0.84028	0.79653
Block24240	0.75779	0.7845	0.7959
Block24241	0.00641	0.0006	0.00437
Block24242	0	0	0.21875
Block24243	0.05996	0.13348	0.08507
Block24244	0.83858	0.75414	0.7651
Block24245	0.80392	0.83356	0.80165
Block24246	0.83912	0.84559	0.84687
Block24247	0.90031	0.86593	0.83575
Block24248	0.08584	0.02955	0.03594
Block24249	0.8135	0.7783	0.77681
Block24250	0.02952	0.05348	0.02881
Block24251	0.30233	0.16265	0.23192
Block24252	0.89091	0.75172	0.76984
Block24253	0.75312	0.76097	0.76589
Block24254	0.0029	0.00965	0.01728
Block24255	0.83912	0.82605	0.83504
Block24256	0.79327	0.72471	0.75319
Block24257	0.85857	0.84989	0.85458
Block24258	0.61271	0.78755	0.82993
Block24259	0.87491	0.88213	0.86345
Block24260	0.8408	0.87941	0.84926
Block24261	0.87707	0.89397	0.92396
Block24262	0.86882	0.77551	0.74243
Block24263	0.69323	0.68269	0.70356
Block24264	0.67605	0.45929	0.35376
Block24265	0.87737	0.83833	0.84115
Block24266	0.62716	0.52054	0.49318
Block24267	0.79342	0.78094	0.8116
Block24268	0.78568	0.81053	0.79324
Block24269	0.25625	0.20157	0.11592
Block24270	0.85569	0.76983	0.76694
Block24271	0.81373	0.86059	0.85603
Block24272	0.14524	0.05946	0.1078
Block24273	0.60485	0.39171	0.35195
Block24274	0.76046	0.76159	0.67892
Block24275	0.79469	0.82463	0.81645
Block24276	0.01929	0.02056	0.03093
Block24277	0.03909	0.076	0.06862
Block24278	0.7218	0.86787	0.81373
Block24279	0.84949	0.8523	0.8755
Block24280	0.77778	0.76144	0.83128
Block24281	0.76695	0.77528	0.77585
Block24282	0.84691	0.84121	0.82943
Block24283	0.92347	0.91447	0.95
Block24284	0.01514	0.01698	0.0184
Block24285	0.31021	0.48405	0.46377
Block24286	0.79548	0.78694	0.78054
Block24287	0.84919	0.82395	0.85006
Block24288	0.779	0.74899	0.82725
Block24289	0.88202	0.63522	0.59834
Block24290	0.54836	0.31648	0.32605
Block24291	0.90625	0.69231	0.84211
Block24292	0.00648	0.0112	0.01244
Block24293	0.14083	0.21932	0.20503
Block24294	0.74625	0.73017	0.71435
Block24295	0.7722	0.79119	0.78
Block24296	0.01797	0.02524	0.00263
Block24297	0.00173	0.00116	0.00801
Block24298	0.82999	0.79801	0.81097
Block24299	0.92913	0.91809	0.90274
Block24300	0.81253	0.84176	0.83037
Block24301	0.83005	0.80687	0.78411
Block24302	0.80494	0.82463	0.8128
Block24303	0.80739	0.74982	0.77919
Block24304	0.7863	0.74281	0.80391
Block24305	0.05276	0.08707	0.11715
Block24306	0.66886	0.60561	0.57433
Block24307	0.8216	0.81597	0.81364
Block24308	0.89623	0.86111	0.79392
Block24309	0.86483	0.86886	0.85692
Block24310	0.82399	0.7815	0.75698
Block24311	0.15657	0.38307	0.44086
Block24312	0.09313	0.18276	0.18097
Block24313	0.85096	0.87992	0.88297
Block24314	0.85987	0.91827	0.91209
Block24315	0.72322	0.67825	0.69213
Block24316	0	0.00028	0
Block24317	0.84304	0.86988	0.83327
Block24318	0.58139	0.43819	0.47038
Block24319	0.04612	0.02803	0.04787
Block24320	0.5022	0.47854	0.49033
Block24321	0.00015	0	0
Block24322	0.81461	0.82389	0.83203
Block24323	0.70627	0.5827	0.64964
Block24324	0.39616	0.42127	0.34473
Block24325	0.84915	0.87995	0.87056
Block24326	0.77214	0.67093	0.77787
Block24327	0	0.04286	0.06731
Block24328	0.02649	0.16235	0.10756
Block24329	0.06815	0.10628	0.07378
Block24330	0	0	0
Block24331	0.59001	0.45124	0.45694
Block24332	0.73186	0.50023	0.54966
Block24333	0.78806	0.64943	0.66448
Block24334	0.00848	0.03152	0.03835
Block24335	0.62283	0.61794	0.63301
Block24336	0.81765	0.82794	0.81255
Block24337	0.8537	0.86376	0.87192
Block24338	0.82956	0.79861	0.82784
Block24339	0.83571	0.643	0.62643
Block24340	0.52018	0.6877	0.70111
Block24341	0.08278	0.12325	0.10756
Block24342	0.83876	0.61536	0.55113
Block24343	0.84452	0.88005	0.85331
Block24344	0.75072	0.5509	0.5656
Block24345	0.80628	0.79	0.8274
Block24346	0.0121	0.01911	0.01256
Block24347	0.86345	0.81857	0.8545
Block24348	0.37331	0.60941	0.55016
Block24349	0.72401	0.77689	0.72997
Block24350	0.78	0.71759	0.66418
Block24351	0.29061	0.38011	0.38071
Block24352	0.72647	0.70297	0.6987
Block24353	0.06352	0.01584	0.01571
Block24354	0.04779	0.10129	0.08015
Block24355	0.15774	0.22367	0.13495
Block24356	0.89082	0.88743	0.86053
Block24357	0.81257	0.86379	0.82577
Block24358	0.00454	0.00231	0.00094
Block24359	0.88594	0.80257	0.80009
Block24360	0.03249	0.06108	0.09503
Block24361	0.58769	0.59413	0.63272
Block24362	0.82519	0.80986	0.84983
Block24363	0.1065	0.11868	0.12581
Block24364	0.69105	0.8279	0.77303
Block24365	0.33183	0.24851	0.38107
Block24366	0.78109	0.78831	0.7476
Block24367	0.83554	0.82243	0.78933
Block24368	0.79485	0.63919	0.65694
Block24369	0.86511	0.75552	0.74426
Block24370	0.06166	0.11691	0.11767
Block24371	0.00508	0.02072	0.01038
Block24372	0.81183	0.65533	0.63109
Block24373	0.81636	0.8322	0.83385
Block24374	0.81182	0.78689	0.81376
Block24375	0.84514	0.79483	0.81592
Block24376	0.75	0.9085	0.92857
Block24377	0.21213	0.2783	0.29051
Block24378	0.14379	0.12398	0.17665
Block24379	0.28603	0.1308	0.15503
Block24380	0.86664	0.84866	0.85123
Block24381	0.05448	0.12917	0.12553
Block24382	0.80375	0.84713	0.83125
Block24383	0.73477	0.66313	0.69626
Block24384	0.75231	0.70593	0.81558
Block24385	0.76788	0.68823	0.74735
Block24386	0.92898	0.92456	0.87224
Block24387	0.87816	0.82343	0.80411
Block24388	0.61523	0.69706	0.7329
Block24389	0.03904	0.07649	0.09214
Block24390	0.83544	0.83578	0.82167
Block24391	0	0	0
Block24392	0.7513	0.80242	0.77651
Block24393	0.02793	0.07686	0.04318
Block24394	0.24547	0.19552	0.18866
Block24395	0.80552	0.73354	0.72708
Block24396	0.82862	0.7781	0.8235
Block24397	0	0	0
Block24398	0.77938	0.7997	0.81607
Block24399	0.03801	0.1333	0.06407
Block24400	0.81704	0.78535	0.78564
Block24401	0.74497	0.72015	0.72867
Block24402	0.90886	0.9231	0.91645
Block24403	0.82917	0.70849	0.79712
Block24404	0.87681	0.86301	0.88286
Block24405	0.8747	0.86166	0.85358
Block24406	0.88011	0.88	0.82675
Block24407	0.87257	0.79403	0.81102
Block24408	0.85688	0.85532	0.83157
Block24409	0.81502	0.76944	0.77908
Block24410	0.1726	0.19001	0.16732
Block24411	0.8463	0.87275	0.7454
Block24412	0.00072	0.00852	0.00442
Block24413	0.85341	0.81852	0.84919
Block24414	0.01234	0.02363	0.0248
Block24415	0.925	0.90714	0.92672
Block24416	0.75408	0.73558	0.71913
Block24417	0.80205	0.7473	0.75448
Block24418	0.8035	0.8044	0.83876
Block24419	0.78021	0.81098	0.72798
Block24420	0.03102	0.02004	0.0289
Block24421	0.85314	0.84086	0.87601
Block24422	0.05636	0.00391	0.01577
Block24423	0.07971	0.07374	0.03252
Block24424	0.03955	0.03988	0.07022
Block24425	0.49776	0.40149	0.42823
Block24426	0.8655	0.82107	0.83787
Block24427	0.80487	0.77841	0.76819
Block24428	0.68085	0.81633	0.83051
Block24429	0	0.00016	0.00014
Block24430	0.00027	0.01641	0.03081
Block24431	0.72159	0.69893	0.70478
Block24432	0.91637	0.89396	0.93748
Block24433	0.83408	0.82509	0.83301
Block24434	0.82143	0.79545	0.72222
Block24435	0.7938	0.80185	0.80906
Block24436	0.71992	0.72631	0.71842
Block24437	0.8248	0.80359	0.79006
Block24438	0.60818	0.28813	0.25019
Block24439	0.76529	0.78673	0.78339
Block24440	0.78107	0.80139	0.80175
Block24441	0.00471	0.01846	0.01492
Block24442	0.79167	0.41477	0.67857
Block24443	0.11068	0.16786	0.13557
Block24444	0.81284	0.83011	0.81475
Block24445	0.54241	0.31143	0.36792
Block24446	0.78971	0.67934	0.7492
Block24447	0.44013	0.14915	0.25871
Block24448	0.4075	0.36967	0.55746
Block24449	0.75459	0.78027	0.76372
Block24450	0.38304	0.28041	0.353
Block24451	0.77413	0.76352	0.78329
Block24452	0.71884	0.70338	0.72494
Block24453	0.8743	0.84159	0.88752
Block24454	0.01736	0.02699	0.03094
Block24455	0.68041	0.72115	0.59048
Block24456	0.0574	0.10441	0.09271
Block24457	0.21702	0.19101	0.21194
Block24458	0.84784	0.72911	0.71784
Block24459	0.00073	0.00283	0.01933
Block24460	0.86589	0.84019	0.85306
Block24461	0.76798	0.81319	0.78572
Block24462	0.73269	0.77675	0.75645
Block24463	0.80208	0.84659	0.91477
Block24464	0.86148	0.80358	0.82829
Block24465	0.10604	0.12047	0.11015
Block24466	0.00093	0.00071	0.00852
Block24467	0.80233	0.8153	0.80751
Block24468	0.82231	0.83468	0.83474
Block24469	0.82517	0.78389	0.81182
Block24470	0.00848	0.01884	0.04047
Block24471	0.60207	0.60093	0.59151
Block24472	0.71819	0.35373	0.50353
Block24473	0.87503	0.86099	0.82709
Block24474	0.0625	0.375	0.15909
Block24475	0.47929	0.43565	0.50202
Block24476	0.01428	0.01593	0.0083
Block24477	0.66074	0.62574	0.63002
Block24478	0.03782	0.05051	0.07247
Block24479	0.68849	0.7172	0.73602
Block24480	0.35865	0.45316	0.48787
Block24481	0.85012	0.88097	0.88103
Block24482	0.36188	0.45681	0.47314
Block24483	0.84052	0.77794	0.82564
Block24484	0.91107	0.91782	0.90568
Block24485	0.58509	0.55489	0.48794
Block24486	0.84131	0.86357	0.82346
Block24487	0.89695	0.84665	0.87449
Block24488	0.87438	0.8698	0.82725
Block24489	0.72363	0.66843	0.73273
Block24490	0.69864	0.40547	0.54036
Block24491	0.0315	0.0568	0.09036
Block24492	0.90495	0.89006	0.86278
Block24493	0.82179	0.78399	0.74529
Block24494	0.00826	0.02869	0.01998
Block24495	0.44922	0.235	0.19368
Block24496	0.16385	0.22985	0.24352
Block24497	0.87345	0.866	0.87562
Block24498	0.00301	0.00105	0.0021
Block24499	0.89941	0.91929	0.90359
Block24500	0.87421	0.841	0.80582
Block24501	0.02472	0.06893	0.02264
Block24502	0.8926	0.87811	0.88259
Block24503	0.02491	0.11863	0.06045
Block24504	0	0	7e-05
Block24505	0.61891	0.69984	0.69114
Block24506	0.54698	0.59279	0.65984
Block24507	0.69014	0.6279	0.614
Block24508	0.00684	0.0359	0.03207
Block24509	0.01537	0.01086	0.01249
Block24510	0.83254	0.68805	0.71843
Block24511	0.79113	0.7748	0.77801
Block24512	0.8509	0.77028	0.75906
Block24513	0.10602	0.0986	0.10279
Block24514	0.90726	0.90851	0.85883
Block24515	0.81	0.8415	0.8244
Block24516	0.76679	0.69487	0.6995
Block24517	0.81392	0.83696	0.81978
Block24518	0.7736	0.55725	0.61876
Block24519	0.74996	0.76213	0.86815
Block24520	0.19511	0.28066	0.27403
Block24521	0.06871	0.07172	0.07856
Block24522	0.83327	0.84222	0.84699
Block24523	0.03072	0.09402	0.08266
Block24524	0.7383	0.74972	0.6613
Block24525	0.78797	0.70079	0.70628
Block24526	0.72895	0.76577	0.78115
Block24527	0.6635	0.73887	0.69203
Block24528	0.86009	0.77467	0.81167
Block24529	0.60854	0.73081	0.68197
Block24530	0.75069	0.63673	0.5285
Block24531	0.47459	0.29952	0.35102
Block24532	0.60819	0.45328	0.53661
Block24533	0.00909	0.01123	0.01599
Block24534	0.76421	0.66447	0.65283
Block24535	0.0168	0.00789	0.02382
Block24536	0.51971	0.54743	0.66779
Block24537	0.65142	0.39499	0.37849
Block24538	0.8213	0.87473	0.76833
Block24539	0.81641	0.79191	0.78804
Block24540	0.8725	0.76597	0.79311
Block24541	0.27628	0.23177	0.22042
Block24542	0.35302	0.35805	0.34679
Block24543	0	0	0
Block24544	0.61202	0.59286	0.63713
Block24545	0.95234	0.87572	0.88609
Block24546	0.78212	0.77574	0.7651
Block24547	0.81778	0.8146	0.80741
Block24548	0.01047	0.05498	0.032
Block24549	0.00062	0.00161	0.00573
Block24550	0.64102	0.67318	0.66486
Block24551	0.79744	0.79881	0.78287
Block24552	0.05608	0.08028	0.07371
Block24553	0.7931	0.83333	0.89873
Block24554	0.82702	0.81779	0.79481
Block24555	0.58269	0.3433	0.30958
Block24556	0.85206	0.77422	0.81207
Block24557	0.81796	0.83813	0.86776
Block24558	0.36097	0.2457	0.24667
Block24559	0.09775	0.22475	0.27499
Block24560	0.08019	0.10516	0.08198
Block24561	0.78996	0.55311	0.54109
Block24562	0.79166	0.76328	0.79321
Block24563	0.76366	0.7796	0.76056
Block24564	0.8437	0.84294	0.83807
Block24565	0.04508	0.11949	0.07348
Block24566	0.89656	0.8956	0.86002
Block24567	0.6642	0.43883	0.41058
Block24568	0.86915	0.86149	0.86295
Block24569	0.01289	0.04765	0.0239
Block24570	0.60614	0.66638	0.69903
Block24571	0.83609	0.74459	0.74191
Block24572	0.85761	0.84842	0.78866
Block24573	0	0	0
Block24574	0.08328	0.20044	0.12384
Block24575	0.48554	0.53549	0.50465
Block24576	0.7255	0.75865	0.74238
Block24577	0.70047	0.72688	0.70616
Block24578	0.90605	0.91689	0.89954
Block24579	0.0078	0.00945	0.01502
Block24580	0.90909	0.89286	0.875
Block24581	0.78871	0.82034	0.82544
Block24582	0.70948	0.67041	0.68834
Block24583	0.32418	0.20891	0.20401
Block24584	0.65359	0.71244	0.71609
Block24585	0.75213	0.80535	0.79541
Block24586	0.0281	0.01081	0.01609
Block24587	0.76362	0.84473	0.78115
Block24588	0.88393	0.79795	0.77966
Block24589	0.91304	0.92279	0.94643
Block24590	0.75455	0.45175	0.40777
Block24591	0.88069	0.80152	0.82407
Block24592	0.05036	0.03097	0.04761
Block24593	0.75528	0.82846	0.79429
Block24594	0.2128	0.17357	0.1777
Block24595	0.15394	0.09232	0.06585
Block24596	0.22093	0.09222	0.06414
Block24597	0.89286	0.91667	0.9375
Block24598	0.02284	0.03377	0.04947
Block24599	0.78589	0.78567	0.76635
Block24600	0.08411	0.09892	0.0486
Block24601	0.89613	0.86424	0.88923
Block24602	0.01011	0.01831	0.01491
Block24603	0.01679	0.02544	0.03202
Block24604	6e-05	5e-05	0.0007
Block24605	0.01814	0.07679	0.04497
Block24606	0.03314	0.01182	0.04394
Block24607	0.03405	0.18219	0.14685
Block24608	0	0	0
Block24609	0.00292	0.00414	0.00719
Block24610	0.81668	0.80214	0.79808
Block24611	0.09568	0.13636	0.07143
Block24612	0.86111	0.91863	0.9037
Block24613	0.80028	0.77949	0.77525
Block24614	0.82941	0.79397	0.84923
Block24615	0.70446	0.50879	0.61508
Block24616	0.81388	0.8005	0.82647
Block24617	0.71347	0.71542	0.68784
Block24618	0.76312	0.73323	0.74987
Block24619	0.79712	0.81322	0.84386
Block24620	0.86023	0.83513	0.86751
Block24621	0.83333	1	1
Block24622	0.87971	0.90484	0.89449
Block24623	0.84945	0.84417	0.8448
Block24624	0.82143	0.83584	0.81281
Block24625	0.46203	0.31384	0.28627
Block24626	0.91365	0.95148	0.92897
Block24627	0.03849	0.09247	0.0767
Block24628	0.67347	0.36507	0.50819
Block24629	0.08109	0.07297	0.04883
Block24630	0.84856	0.72902	0.70214
Block24631	0.73178	0.77561	0.74908
Block24632	0.80607	0.75371	0.75647
Block24633	0.25242	0.2344	0.18016
Block24634	0.84179	0.83939	0.84273
Block24635	0.81299	0.73579	0.77904
Block24636	0.0238	0.03743	0.05761
Block24637	0.05919	0.11875	0.10131
Block24638	0.82307	0.76773	0.81703
Block24639	0.60641	0.84602	0.79977
Block24640	0.82132	0.82235	0.82575
Block24641	0.02678	0.05348	0.03321
Block24642	0	0.00867	0.00092
Block24643	0.78539	0.81058	0.74906
Block24644	0.82813	0.84184	0.92143
Block24645	0.82168	0.82987	0.7988
Block24646	0.93252	0.9202	0.89948
Block24647	0.08705	0.16772	0.17284
Block24648	0.77221	0.71703	0.75616
Block24649	0.81513	0.8068	0.82156
Block24650	0.89925	0.92676	0.93606
Block24651	0.64327	0.73756	0.72664
Block24652	0.82342	0.76415	0.80855
Block24653	0.82314	0.78365	0.78613
Block24654	0.90535	0.84209	0.88502
Block24655	0.89817	0.828	0.85244
Block24656	0.85492	0.84802	0.81586
Block24657	0.01385	0.01916	0.02615
Block24658	0.84488	0.82156	0.81377
Block24659	0.91276	0.89346	0.9017
Block24660	0.78376	0.78286	0.78687
Block24661	0.75876	0.68281	0.62549
Block24662	0.01705	0.01911	0.02726
Block24663	0.34116	0.36866	0.28202
Block24664	0.88253	0.85587	0.84846
Block24665	0.00766	0.02608	0.01476
Block24666	0.67042	0.80735	0.67565
Block24667	0.86774	0.87193	0.86807
Block24668	0.96429	0.90341	0.93314
Block24669	0.0683	0.11417	0.09479
Block24670	0.75285	0.79113	0.77942
Block24671	0.70369	0.72819	0.68125
Block24672	0.88251	0.81239	0.86768
Block24673	0.76054	0.28994	0.34154
Block24674	0.45442	0.42897	0.30948
Block24675	0.79392	0.77499	0.77158
Block24676	0.93827	0.91034	0.8922
Block24677	0.01127	0.01645	0.05577
Block24678	0.91062	0.80218	0.87335
Block24679	0.86364	0.91667	0.93939
Block24680	0.01489	0.02262	0.02326
Block24681	0.86321	0.78798	0.81546
Block24682	0.24399	0.18164	0.14581
Block24683	0.8091	0.84085	0.83225
Block24684	0.88098	0.86962	0.8438
Block24685	0.76023	0.71052	0.72027
Block24686	0.75733	0.8081	0.76947
Block24687	0.08162	0.09191	0.07301
Block24688	0.42895	0.2158	0.25679
Block24689	0.87224	0.8085	0.83449
Block24690	0.10579	0.03693	0.05646
Block24691	0.88949	0.87539	0.86826
Block24692	0.04607	0.09702	0.06295
Block24693	0.17014	0.35764	0.30065
Block24694	0.86111	0.83333	0.86835
Block24695	0.72942	0.78782	0.8114
Block24696	0.84568	0.87397	0.85488
Block24697	0.00038	0.00414	0.00252
Block24698	0.06172	0.13247	0.12214
Block24699	0.6724	0.52621	0.52502
Block24700	0.82333	0.86367	0.85188
Block24701	0.80889	0.79928	0.78292
Block24702	0.76992	0.80381	0.78993
Block24703	0.92763	0.91786	0.94915
Block24704	0.00984	0.00886	0.00991
Block24705	0.0534	0.06917	0.11651
Block24706	0.75585	0.53683	0.54276
Block24707	0.65235	0.68972	0.68818
Block24708	0.88384	0.88453	0.90311
Block24709	0.0028	0.00758	0.00735
Block24710	0.671	0.37132	0.34858
Block24711	0.48222	0.17943	0.21487
Block24712	0.90789	0.88816	0.93627
Block24713	0.88465	0.84572	0.85003
Block24714	0.7473	0.76346	0.75315
Block24715	0.87416	0.8241	0.86357
Block24716	0.00017	0.00059	0.00146
Block24717	0.80063	0.81485	0.82932
Block24718	0.95456	0.90749	0.90331
Block24719	0.86631	0.9047	0.88081
Block24720	0.01192	0.08567	0.04608
Block24721	0.76682	0.77008	0.7354
Block24722	0.90807	0.92225	0.93497
Block24723	0.81731	0.77041	0.76974
Block24724	0.80833	0.84498	0.86352
Block24725	0.07658	0.05634	0.0554
Block24726	0.89602	0.87237	0.84163
Block24727	0.8388	0.83649	0.86192
Block24728	0.06308	0.12303	0.1104
Block24729	0.02999	0.0595	0.04613
Block24730	0.83666	0.86499	0.8741
Block24731	0.88042	0.69475	0.74567
Block24732	0.70906	0.68678	0.70049
Block24733	0.44982	0.57887	0.56301
Block24734	0.07049	0.00142	0.12972
Block24735	0.79633	0.79028	0.78421
Block24736	0.03885	0.0489	0.05059
Block24737	0.8095	0.80001	0.81789
Block24738	0.00331	0.014	0.01293
Block24739	0.83592	0.75869	0.77212
Block24740	0.69216	0.47835	0.56653
Block24741	0.01432	0.01854	0.03538
Block24742	0.00285	0.00527	0.00372
Block24743	0.47431	0.31738	0.34502
Block24744	0.89095	0.87151	0.88906
Block24745	0.85351	0.86255	0.85218
Block24746	0.66527	0.30974	0.31193
Block24747	0.91768	0.89016	0.88436
Block24748	0.97561	0.91525	0.89091
Block24749	0.51057	0.42613	0.44344
Block24750	0.65228	0.31668	0.43581
Block24751	0.831	0.68601	0.70493
Block24752	0.10641	0.19587	0.15758
Block24753	0.63519	0.61572	0.67466
Block24754	0.90344	0.87023	0.86161
Block24755	0.00216	0.00652	0.00196
Block24756	0.65257	0.74495	0.72214
Block24757	0.80587	0.78473	0.79898
Block24758	0.6	0.6118	0.65529
Block24759	0.88725	0.80622	0.81464
Block24760	1	0.88	0.8875
Block24761	0.75	0.86928	0.84722
Block24762	0.84813	0.72599	0.77942
Block24763	0.84815	0.84618	0.8717
Block24764	0.80385	0.76046	0.78973
Block24765	0.90155	0.90947	0.90024
Block24766	0.86158	0.82691	0.86062
Block24767	0.73513	0.69564	0.80368
Block24768	0.07971	0.15204	0.13887
Block24769	0.47222	0.77579	0.84444
Block24770	0.73087	0.70439	0.81785
Block24771	0.82619	0.81188	0.79287
Block24772	0.10582	0.09656	0.1041
Block24773	0.10843	0.12148	0.115
Block24774	0.76757	0.80899	0.79895
Block24775	0.80941	0.80552	0.82477
Block24776	0.80434	0.79719	0.77791
Block24777	0.84815	0.81533	0.78658
Block24778	0.80143	0.70064	0.71176
Block24779	0.51784	0.45811	0.39098
Block24780	0.86359	0.83304	0.85225
Block24781	0.77211	0.76428	0.82525
Block24782	0.86594	0.82698	0.82865
Block24783	0.80203	0.33142	0.35245
Block24784	0.02741	0.11046	0.05907
Block24785	0.69766	0.64177	0.71063
Block24786	0.00443	0.01239	0.00486
Block24787	0.86986	0.84968	0.88487
Block24788	0.76388	0.80373	0.77935
Block24789	0.89085	0.83258	0.88366
Block24790	0.00226	0.00911	0.00186
Block24791	0.02913	0.08775	0.05582
Block24792	0.05639	0.02935	0.03661
Block24793	0.85831	0.75564	0.80782
Block24794	0.00114	0.00018	0
Block24795	0.00053	0.00778	0.0076
Block24796	0.66019	0.55325	0.63223
Block24797	0.7979	0.88802	0.76042
Block24798	0.17482	0.15715	0.13608
Block24799	0.87668	0.86866	0.86211
Block24800	0.5905	0.66301	0.65353
Block24801	0.02302	0.04643	0.0718
Block24802	0.03028	0.01851	0.01951
Block24803	0.00322	0.00838	0.00314
Block24804	0.86262	0.81889	0.83412
Block24805	0.71653	0.66418	0.67002
Block24806	0.87019	0.82782	0.85078
Block24807	0.00839	0.00744	0.00214
Block24808	0.81325	0.81208	0.80272
Block24809	0.90451	0.86244	0.90951
Block24810	0.78283	0.70282	0.71243
Block24811	0.85344	0.86067	0.83272
Block24812	0.62243	0.44981	0.56021
Block24813	0.79325	0.84269	0.73894
Block24814	0.86222	0.85399	0.84983
Block24815	0.73254	0.77364	0.73109
