BlockNo_	S3300047	S3300074	S3300239
Block8694	0.87882	0.87288	0.85362
Block8695	0.0444	0.13349	0.06064
Block8696	0.92972	0.82568	0.88243
Block8697	0.90766	0.88082	0.90993
Block8698	0.00498	0.00981	0.02329
Block8699	0.84012	0.8618	0.84774
Block8700	0.03978	0.1242	0.08093
Block8701	0.0721	0.3428	0.23562
Block8702	0.7468	0.72941	0.74802
Block8703	0.7746	0.76756	0.76212
Block8704	0.73333	0.68269	0.70322
Block8705	0.70886	0.74866	0.70533
Block8706	0.72723	0.72515	0.73771
Block8707	0.05217	0.07596	0.09405
Block8708	0.70497	0.69854	0.62111
Block8709	0.80117	0.7758	0.81242
Block8710	0.762	0.76007	0.76964
Block8711	0.66614	0.6762	0.66293
Block8712	0.81356	0.80654	0.81268
Block8713	0.04866	0.09932	0.08151
Block8714	0.025	0.11737	0.0563
Block8715	0.00042	0.00051	0.00146
Block8716	0.82725	0.74667	0.75313
Block8717	0.85167	0.8702	0.86643
Block8718	0.01574	0.03731	0.03036
Block8719	0.84306	0.81506	0.8057
Block8720	0.94301	0.9068	0.89922
Block8721	0.83281	0.76044	0.84731
Block8722	0.85749	0.88907	0.86756
Block8723	0.84824	0.81698	0.7994
Block8724	0.04335	0.10731	0.08957
Block8725	0.77484	0.43153	0.47151
Block8726	0.83495	0.84366	0.85294
Block8727	0.86817	0.78213	0.82668
Block8728	0.16545	0.08102	0.12185
Block8729	0.06328	0.03218	0.04688
Block8730	0.90823	0.87688	0.89309
Block8731	0.82324	0.79198	0.80161
Block8732	0.9079	0.89808	0.91689
Block8733	0.78249	0.67933	0.69898
Block8734	0.51784	0.27385	0.45195
Block8735	0.88209	0.8548	0.85282
Block8736	0.88735	0.85318	0.88464
Block8737	0.74965	0.39317	0.4203
Block8738	0.15944	0.22116	0.17773
Block8739	0.84397	0.8522	0.7943
Block8740	0.83401	0.83944	0.86576
Block8741	0.00022	0.00018	0
Block8742	0.04321	0.10602	0.05217
Block8743	0.67366	0.6392	0.71319
Block8744	0.27524	0.27358	0.27969
Block8745	0.25317	0.35565	0.31712
Block8746	0.82002	0.74555	0.79256
Block8747	0.79044	0.84448	0.81695
Block8748	0.00201	0.00637	0.03141
Block8749	0.01991	0.02781	0.02246
Block8750	0.8009	0.78033	0.85136
Block8751	0.01983	0.02573	0.03734
Block8752	0.09898	0.15346	0.13251
Block8753	0.1063	0.05611	0.06964
Block8754	0.86616	0.80543	0.75
Block8755	0.83081	0.84032	0.82993
Block8756	0.89731	0.86273	0.79541
Block8757	0.62494	0.66605	0.66124
Block8758	0.79406	0.82071	0.82004
Block8759	0.91757	0.91194	0.89392
Block8760	0.89959	0.84787	0.83512
Block8761	0.92146	0.79196	0.73933
Block8762	0.91964	0.79348	0.76654
Block8763	0.72263	0.58892	0.59762
Block8764	0.00323	0.01022	0.00723
Block8765	0.35621	0.36233	0.34682
Block8766	0.73452	0.61353	0.64309
Block8767	0.79693	0.72568	0.80031
Block8768	0.7963	0.80121	0.78561
Block8769	0.77225	0.79532	0.83811
Block8770	0.91475	0.86874	0.90112
Block8771	0.02571	0.12737	0.04633
Block8772	0.81493	0.79312	0.83993
Block8773	0.47867	0.56208	0.55613
Block8774	0.0538	0.04425	0.10308
Block8775	0	0.38249	0.7713
Block8776	0.02232	0.02954	0.03916
Block8777	0.91387	0.82975	0.84864
Block8778	0.00624	0.05426	0.05298
Block8779	0.00027	0.00399	0.00179
Block8780	0.78641	0.76015	0.78648
Block8781	0.92442	0.87925	0.90174
Block8782	0.00622	0.00394	0.01232
Block8783	0.02692	0.10017	0.07215
Block8784	0.79052	0.74831	0.73864
Block8785	0.80654	0.80446	0.8379
Block8786	0.47696	0.56008	0.50879
Block8787	0.84331	0.82365	0.901
Block8788	0.50845	0.35427	0.36012
Block8789	0.544	0.17123	0.26287
Block8790	0.92932	0.90935	0.88989
Block8791	0.25368	0.30912	0.25921
Block8792	0.84498	0.83055	0.87803
Block8793	0.8739	0.84377	0.86069
Block8794	0.80696	0.80443	0.79257
Block8795	0.81367	0.64019	0.62802
Block8796	0.47902	0.54189	0.53623
Block8797	0.87653	0.83282	0.86604
Block8798	0.81132	0.81532	0.8161
Block8799	0.87993	0.83556	0.85245
Block8800	0.80375	0.85183	0.8028
Block8801	0.72947	0.81266	0.84702
Block8802	0.08185	0.15968	0.14461
Block8803	0.00113	0.00134	0.01216
Block8804	0.82949	0.8652	0.84732
Block8805	0.78769	0.73343	0.82042
Block8806	0.47899	0.56081	0.54654
Block8807	0.04641	0.07054	0.10925
Block8808	0.84072	0.84611	0.84485
Block8809	0.79172	0.75236	0.77984
Block8810	0.77114	0.6354	0.70736
Block8811	0.78641	0.59035	0.64099
Block8812	0.82909	0.58394	0.65836
Block8813	0.71836	0.73122	0.74618
Block8814	0.94269	0.91932	0.96035
Block8815	0.66671	0.4965	0.47986
Block8816	0.00663	0.00989	0.01078
Block8817	0.79565	0.81932	0.83752
Block8818	0	0	0
Block8819	0.02142	0.03139	0.02644
Block8820	0.82072	0.86255	0.82857
Block8821	0.63797	0.68206	0.65172
Block8822	0.65922	0.71253	0.68382
Block8823	0.83333	0.91667	0.83704
Block8824	0.67356	0.69426	0.69972
Block8825	0.75887	0.83451	0.79918
Block8826	0.00167	0.00436	0.00604
Block8827	0.89063	0.85784	0.90244
Block8828	0.0261	0.01452	0.01601
Block8829	0.37235	0.32771	0.31914
Block8830	0.7762	0.76604	0.79246
Block8831	0.05111	0.10641	0.10608
Block8832	0.85189	0.83952	0.8518
Block8833	0.9	0.85938	0.90244
Block8834	0.73141	0.69523	0.67476
Block8835	0.83077	0.85094	0.838
Block8836	0.13624	0.09202	0.09668
Block8837	0.82861	0.84367	0.79816
Block8838	0.84835	0.85446	0.86292
Block8839	0.79778	0.70869	0.62031
Block8840	0.76088	0.82761	0.8147
Block8841	0.91734	0.88299	0.91166
Block8842	0.87086	0.85401	0.88876
Block8843	0.10272	0.19217	0.08514
Block8844	0.02898	0.05643	0.01544
Block8845	0.71234	0.65928	0.74156
Block8846	0.72515	0.69027	0.72042
Block8847	0.74883	0.70879	0.66682
Block8848	0.8921	0.87788	0.90899
Block8849	0.80931	0.75941	0.7813
Block8850	0.72463	0.76606	0.70609
Block8851	0.86201	0.80444	0.81944
Block8852	0.82902	0.50308	0.53113
Block8853	0.12987	0.22024	0.11073
Block8854	0.0625	0.18944	0.22526
Block8855	0.79383	0.73387	0.7167
Block8856	0.07678	0.01792	0.02792
Block8857	0.84583	0.84244	0.86638
Block8858	0.86122	0.92949	0.90676
Block8859	0.06935	0.149	0.09775
Block8860	0.89815	0.70684	0.67896
Block8861	7e-05	0.0001	6e-05
Block8862	0.85437	0.90909	0.88696
Block8863	0.88227	0.8917	0.89268
Block8864	0.85237	0.85759	0.82222
Block8865	0.0006	0.00956	0.0031
Block8866	0.79895	0.82608	0.83721
Block8867	0.00296	0.00307	0.00562
Block8868	0.73946	0.67384	0.6551
Block8869	0.52159	0.5883	0.55206
Block8870	0.81648	0.80338	0.75569
Block8871	0.84186	0.8085	0.86747
Block8872	0.93466	0.93807	0.94617
Block8873	0.86489	0.88969	0.89222
Block8874	0.77224	0.62034	0.68862
Block8875	0.82157	0.84938	0.80111
Block8876	0.04828	0.049	0.06216
Block8877	0.00921	0.03683	0.01058
Block8878	0.51695	0.62245	0.7783
Block8879	0.62754	0.6207	0.58016
Block8880	0.90406	0.88557	0.90171
Block8881	0.00043	0.00732	0.00509
Block8882	0.58258	0.52095	0.50517
Block8883	0.49315	0.24615	0.25595
Block8884	0.76569	0.74771	0.74542
Block8885	0.87367	0.75509	0.77667
Block8886	0.745	0.75011	0.73749
Block8887	0.05336	0.13732	0.12309
Block8888	0.75481	0.75113	0.70309
Block8889	0.87328	0.87686	0.89115
Block8890	0.00059	0.00089	0.00718
Block8891	0.70932	0.3739	0.54943
Block8892	0.74163	0.51945	0.60044
Block8893	0.01467	0.03941	0.0721
Block8894	0.03376	0.04793	0.05002
Block8895	0.00099	0.00256	0.00367
Block8896	0.05559	0.11641	0.09156
Block8897	0.07492	0.1132	0.0795
Block8898	0.00407	0.00761	0.00908
Block8899	0.78299	0.70887	0.72731
Block8900	0.72434	0.72251	0.73237
Block8901	0.00378	0.00773	0.0049
Block8902	0.15925	0.12885	0.13545
Block8903	0.0665	0.11535	0.07894
Block8904	0.0008	0.00014	0.0002
Block8905	0.03205	0.13412	0.07441
Block8906	0.02531	0.0706	0.06107
Block8907	0.0182	0.03128	0.07961
Block8908	0.82975	0.82066	0.82229
Block8909	0.90625	0.88047	0.89919
Block8910	0.20358	0.22665	0.21896
Block8911	0.72436	0.65957	0.54444
Block8912	0.8203	0.79791	0.83499
